variant,symbol,address,size,sha256
qa-2029,qexec_execute_scan,0x00000000004db580,0x00000000000005e1,71b2c85db8805d4b3d4142081d4138d6fe3f1a9ef26f3d19876a3b7538b52787
qa-2029,fetch_val_list,0x000000000047aa10,0x00000000000003b4,06f0c24390f910aab23134ea100094585a3260af602853923865272f819c0bc6
qa-2029,qdata_evaluate_aggregate_list,0x000000000049aee0,0x0000000000001073,ae0661c48af6014c7f3343488d3c8d8b4d3353f024e02b5dd64ba0df22c106d2
qa-2029,qexec_start_mainblock_iterations,0x00000000004c0670,0x0000000000000b74,477b3bbc66851a0da30dcb910d42cc3e8a4553b596c599b673f6de358c7cdfdb
qa-2029,qexec_execute_mainblock,0x00000000004d3f20,0x00000000000046eb,c14f11d0f98d033803b563dd2303274cdedca38ca53cfb825b7c27e49883750f
qa-2029,qexec_execute_query,0x00000000004e1b40,0x00000000000005a6,fdf1f7b81e70526b1a4e8c4c45df8037c5aa52476de9ba47bf2c3506317bce1d
qa-2029,scan_next_scan_block,0x0000000000500f30,0x000000000000020a,55db88b79d631a393161321724448c591e650eaad017f86e8ee3818e537c977c
qa-2029,scan_next_scan,0x0000000000501ef0,0x000000000000016a,751ac37957472c36544c6d9e3b815693f87058bac6b96c0955650032edf2611e
A,qdata_evaluate_aggregate_list,0x000000000049aee0,0x0000000000001073,ae0661c48af6014c7f3343488d3c8d8b4d3353f024e02b5dd64ba0df22c106d2
A,qexec_execute_scan,0x00000000004db580,0x00000000000005e1,71b2c85db8805d4b3d4142081d4138d6fe3f1a9ef26f3d19876a3b7538b52787
A,fetch_val_list,0x000000000047aa10,0x00000000000003b4,06f0c24390f910aab23134ea100094585a3260af602853923865272f819c0bc6
A,qexec_start_mainblock_iterations,0x00000000004c0670,0x0000000000000b74,477b3bbc66851a0da30dcb910d42cc3e8a4553b596c599b673f6de358c7cdfdb
A,qexec_execute_mainblock,0x00000000004d3f20,0x00000000000046eb,c14f11d0f98d033803b563dd2303274cdedca38ca53cfb825b7c27e49883750f
A,qexec_execute_query,0x00000000004e1b40,0x00000000000005a6,fdf1f7b81e70526b1a4e8c4c45df8037c5aa52476de9ba47bf2c3506317bce1d
A,scan_next_scan_block,0x0000000000500f30,0x000000000000020a,55db88b79d631a393161321724448c591e650eaad017f86e8ee3818e537c977c
A,scan_next_scan,0x0000000000501ef0,0x000000000000016a,751ac37957472c36544c6d9e3b815693f87058bac6b96c0955650032edf2611e
B,qdata_evaluate_aggregate_list,0x000000000049aed0,0x0000000000001073,0428a0ae12cdb26cd659a1c92e9128842b38b48a923d0c8bbe77b5c6c2bd1ca2
B,qexec_execute_scan,0x00000000004db570,0x00000000000005e1,d3b907ff07ef309a0850d7c2d0d21a48060f56f3fbe5e8fbc2d65c8c304a6263
B,fetch_val_list,0x000000000047aa00,0x00000000000003b4,9587a579a0b360d4606c7f53376710a352c39cd01a14813437383113225739ef
B,qexec_start_mainblock_iterations,0x00000000004c0660,0x0000000000000b74,1325cf372472fdc9d67eba84d9dc468a984b69fb88a9a39893bbdff3cdb39f7b
B,qexec_execute_mainblock,0x00000000004d3f10,0x00000000000046eb,3af430e73f40cb4d81dad6f12620041c27a3f212c447660ff663f04ba7336b6e
B,qexec_execute_query,0x00000000004e1b30,0x00000000000005a6,e2218fe5b4f0f7a0080624964fac92fe358d75b09c34185d3589fda8b62e4ef5
B,scan_next_scan_block,0x0000000000500f20,0x000000000000020a,770189b5071d52a52340269b9ab6017a7e51b398da1e9db4a01b6417ffaee625
B,scan_next_scan,0x0000000000501ee0,0x000000000000016a,54c0777fb848b2e78b19e5381c5eea8cdc37ebea7be487773088d6b918ef3228
C,qdata_evaluate_aggregate_list,0x000000000049aed0,0x0000000000001073,0428a0ae12cdb26cd659a1c92e9128842b38b48a923d0c8bbe77b5c6c2bd1ca2
C,qexec_execute_scan,0x00000000004db570,0x00000000000005e1,d3b907ff07ef309a0850d7c2d0d21a48060f56f3fbe5e8fbc2d65c8c304a6263
C,fetch_val_list,0x000000000047aa00,0x00000000000003b4,9587a579a0b360d4606c7f53376710a352c39cd01a14813437383113225739ef
C,qexec_start_mainblock_iterations,0x00000000004c0660,0x0000000000000b74,1325cf372472fdc9d67eba84d9dc468a984b69fb88a9a39893bbdff3cdb39f7b
C,qexec_execute_mainblock,0x00000000004d3f10,0x00000000000046eb,3af430e73f40cb4d81dad6f12620041c27a3f212c447660ff663f04ba7336b6e
C,qexec_execute_query,0x00000000004e1b30,0x00000000000005a6,e2218fe5b4f0f7a0080624964fac92fe358d75b09c34185d3589fda8b62e4ef5
C,scan_next_scan_block,0x0000000000500f20,0x000000000000020a,770189b5071d52a52340269b9ab6017a7e51b398da1e9db4a01b6417ffaee625
C,scan_next_scan,0x0000000000501ee0,0x000000000000016a,54c0777fb848b2e78b19e5381c5eea8cdc37ebea7be487773088d6b918ef3228
