variant,symbol,address,size,mod64
qa-2029,qexec_execute_scan,0x00000000004db580,0x00000000000005e1,0
qa-2029,fetch_val_list,0x000000000047aa10,0x00000000000003b4,16
qa-2029,qdata_evaluate_aggregate_list,0x000000000049aee0,0x0000000000001073,32
qa-2029,qexec_start_mainblock_iterations,0x00000000004c0670,0x0000000000000b74,48
qa-2029,qexec_execute_mainblock,0x00000000004d3f20,0x00000000000046eb,32
qa-2029,qexec_execute_query,0x00000000004e1b40,0x00000000000005a6,0
qa-2029,scan_next_scan_block,0x0000000000500f30,0x000000000000020a,48
qa-2029,scan_next_scan,0x0000000000501ef0,0x000000000000016a,48
qa-2029,log_Gl,0x0000000001023e80,0x0000000000000550,0
A,qdata_evaluate_aggregate_list,0x000000000049aee0,0x0000000000001073,32
A,qexec_execute_scan,0x00000000004db580,0x00000000000005e1,0
A,fetch_val_list,0x000000000047aa10,0x00000000000003b4,16
A,qexec_start_mainblock_iterations,0x00000000004c0670,0x0000000000000b74,48
A,qexec_execute_mainblock,0x00000000004d3f20,0x00000000000046eb,32
A,qexec_execute_query,0x00000000004e1b40,0x00000000000005a6,0
A,scan_next_scan_block,0x0000000000500f30,0x000000000000020a,48
A,scan_next_scan,0x0000000000501ef0,0x000000000000016a,48
A,log_Gl,0x0000000001023e80,0x0000000000000550,0
B,qdata_evaluate_aggregate_list,0x000000000049aed0,0x0000000000001073,16
B,qexec_execute_scan,0x00000000004db570,0x00000000000005e1,48
B,fetch_val_list,0x000000000047aa00,0x00000000000003b4,0
B,qexec_start_mainblock_iterations,0x00000000004c0660,0x0000000000000b74,32
B,qexec_execute_mainblock,0x00000000004d3f10,0x00000000000046eb,16
B,qexec_execute_query,0x00000000004e1b30,0x00000000000005a6,48
B,scan_next_scan_block,0x0000000000500f20,0x000000000000020a,32
B,scan_next_scan,0x0000000000501ee0,0x000000000000016a,32
B,log_Gl,0x0000000001023f00,0x0000000000000550,0
C,qdata_evaluate_aggregate_list,0x000000000049aed0,0x0000000000001073,16
C,qexec_execute_scan,0x00000000004db570,0x00000000000005e1,48
C,fetch_val_list,0x000000000047aa00,0x00000000000003b4,0
C,qexec_start_mainblock_iterations,0x00000000004c0660,0x0000000000000b74,32
C,qexec_execute_mainblock,0x00000000004d3f10,0x00000000000046eb,16
C,qexec_execute_query,0x00000000004e1b30,0x00000000000005a6,48
C,scan_next_scan_block,0x0000000000500f20,0x000000000000020a,32
C,scan_next_scan,0x0000000000501ee0,0x000000000000016a,32
C,log_Gl,0x0000000001023f00,0x0000000000000550,0
