series,run,position,variant,seconds,result,migrations,switches,rchar,wchar,read_bytes,write_bytes,minflt,majflt,utime_ticks,stime_ticks,timestamp
balanced-1,1,1,A,4.722145,282475249,62,6422,163840,58185,0,4096,234,0,474,2,2026-08-27T00:29:46+09:00
balanced-1,1,2,B,4.815148,282475249,71,6959,163840,58185,0,4096,236,0,483,2,2026-08-27T00:29:55+09:00
balanced-1,1,3,D,4.775147,282475249,134,7902,163840,58185,0,4096,235,0,477,3,2026-08-27T00:30:05+09:00
balanced-2,1,1,B,4.817148,282475249,92,6624,163840,58185,0,4096,235,0,483,2,2026-08-27T00:30:14+09:00
balanced-2,1,2,D,4.803148,282475249,30,6464,163840,58185,0,0,236,0,482,3,2026-08-27T00:30:24+09:00
balanced-2,1,3,A,4.787147,282475249,66,6322,163840,58185,0,4096,234,0,482,0,2026-08-27T00:30:33+09:00
balanced-3,1,1,D,4.806147,282475249,60,6407,163840,58185,0,4096,237,0,482,2,2026-08-27T00:30:43+09:00
balanced-3,1,2,A,4.717145,282475249,53,6254,163840,58185,0,0,236,0,474,3,2026-08-27T00:30:52+09:00
balanced-3,1,3,B,4.796148,282475249,46,6377,163840,58185,0,4096,235,0,481,3,2026-08-27T00:31:02+09:00
balanced-1,2,1,A,4.812148,282475249,49,6426,163840,58185,0,4096,235,0,483,2,2026-08-27T00:31:11+09:00
balanced-1,2,2,D,4.730146,282475249,54,6323,163840,58185,0,4096,233,0,474,3,2026-08-27T00:31:21+09:00
balanced-1,2,3,B,4.823148,282475249,44,6364,163840,58185,0,0,235,0,484,2,2026-08-27T00:31:30+09:00
balanced-2,2,1,D,4.829149,282475249,71,6345,163840,58185,0,0,238,0,486,0,2026-08-27T00:31:40+09:00
balanced-2,2,2,B,4.799147,282475249,26,6429,163840,58185,0,4096,237,0,485,0,2026-08-27T00:31:49+09:00
balanced-2,2,3,A,4.724145,282475249,30,6337,163840,58185,0,4096,235,0,475,2,2026-08-27T00:31:58+09:00
balanced-3,2,1,B,4.806148,282475249,35,6432,163840,58185,0,4096,234,0,481,3,2026-08-27T00:32:08+09:00
balanced-3,2,2,A,4.808148,282475249,50,6424,163840,58185,0,0,236,0,483,1,2026-08-27T00:32:17+09:00
balanced-3,2,3,D,5.942183,282475249,65,7817,163840,58185,0,4096,233,0,597,2,2026-08-27T00:32:27+09:00
balanced-1,3,1,A,4.796147,282475249,64,6415,163840,58185,0,4096,236,0,481,2,2026-08-27T00:32:38+09:00
balanced-1,3,2,B,4.799148,282475249,83,6274,163840,58185,0,4096,236,0,480,4,2026-08-27T00:32:47+09:00
balanced-1,3,3,D,4.725145,282475249,60,6246,163840,58185,0,0,235,0,474,3,2026-08-27T00:32:57+09:00
balanced-2,3,1,B,4.883150,282475249,83,6497,163840,58185,0,4096,234,0,490,3,2026-08-27T00:33:06+09:00
balanced-2,3,2,D,4.712144,282475249,34,6225,163840,58185,0,4096,234,0,474,1,2026-08-27T00:33:16+09:00
balanced-2,3,3,A,4.713145,282475249,39,6300,163840,58185,0,4096,234,0,475,1,2026-08-27T00:33:25+09:00
balanced-3,3,1,D,4.721146,282475249,50,6318,163840,58185,0,0,236,0,475,2,2026-08-27T00:33:34+09:00
balanced-3,3,2,A,4.796148,282475249,57,6425,163840,58185,0,0,236,0,481,1,2026-08-27T00:33:44+09:00
balanced-3,3,3,B,4.917152,282475249,62,6547,163840,58185,0,4096,235,0,494,1,2026-08-27T00:33:54+09:00
balanced-1,4,1,A,4.713145,282475249,49,6318,163840,58185,0,4096,235,0,475,1,2026-08-27T00:34:03+09:00
balanced-1,4,2,D,4.800148,282475249,50,6404,163840,58185,0,4096,234,0,483,1,2026-08-27T00:34:13+09:00
balanced-1,4,3,B,4.802148,282475249,80,6415,163840,58185,0,4096,233,0,483,2,2026-08-27T00:34:22+09:00
balanced-2,4,1,D,4.726145,282475249,51,6327,163840,58185,0,0,237,0,476,2,2026-08-27T00:34:32+09:00
balanced-2,4,2,B,4.803148,282475249,28,6402,163840,58185,0,0,236,0,484,2,2026-08-27T00:34:41+09:00
balanced-2,4,3,A,4.765146,282475249,51,6356,163840,58185,0,4096,238,0,480,0,2026-08-27T00:34:51+09:00
balanced-3,4,1,B,4.874150,282475249,60,6498,163840,58185,0,4096,234,0,489,3,2026-08-27T00:35:00+09:00
balanced-3,4,2,A,4.738146,282475249,70,6237,163840,58185,0,4096,233,0,476,3,2026-08-27T00:35:10+09:00
balanced-3,4,3,D,4.716145,282475249,33,6326,163840,58185,0,4096,236,0,474,1,2026-08-27T00:35:19+09:00
balanced-1,5,1,A,4.805148,282475249,43,6412,163840,58185,0,0,236,0,481,2,2026-08-27T00:35:29+09:00
balanced-1,5,2,B,4.888150,282475249,102,6429,163840,58185,0,4096,237,0,491,1,2026-08-27T00:35:38+09:00
balanced-1,5,3,D,4.800148,282475249,68,6395,163840,58185,0,0,237,0,481,3,2026-08-27T00:35:48+09:00
balanced-2,5,1,B,4.800148,282475249,32,6414,163840,58185,0,0,236,0,483,2,2026-08-27T00:35:57+09:00
balanced-2,5,2,D,4.707145,282475249,101,6221,163840,58185,0,4096,235,0,473,3,2026-08-27T00:36:07+09:00
balanced-2,5,3,A,4.727146,282475249,40,6310,163840,58185,0,4096,233,0,475,2,2026-08-27T00:36:16+09:00
balanced-3,5,1,D,4.728146,282475249,46,6321,163840,58185,0,0,236,0,476,2,2026-08-27T00:36:26+09:00
balanced-3,5,2,A,4.717145,282475249,279,6314,163840,58185,0,0,236,0,475,1,2026-08-27T00:36:35+09:00
balanced-3,5,3,B,4.796147,282475249,37,6433,163840,58185,0,4096,232,0,482,2,2026-08-27T00:36:45+09:00
balanced-1,6,1,A,4.725146,282475249,79,6272,163840,58185,0,4096,236,0,474,4,2026-08-27T00:36:54+09:00
balanced-1,6,2,D,4.722145,282475249,49,6348,163840,58185,0,4096,235,0,474,3,2026-08-27T00:37:03+09:00
balanced-1,6,3,B,4.894150,282475249,49,6535,163840,58185,0,4096,233,0,492,1,2026-08-27T00:37:13+09:00
balanced-2,6,1,D,4.807148,282475249,54,6343,163840,58185,0,0,235,0,482,2,2026-08-27T00:37:23+09:00
balanced-2,6,2,B,4.873149,282475249,61,6487,163840,58185,0,0,236,0,491,0,2026-08-27T00:37:32+09:00
balanced-2,6,3,A,4.803148,282475249,63,6387,163840,58185,0,4096,234,0,483,2,2026-08-27T00:37:41+09:00
balanced-3,6,1,B,4.815148,282475249,41,6526,163840,58185,0,4096,237,0,484,2,2026-08-27T00:37:51+09:00
balanced-3,6,2,A,4.796147,282475249,73,6394,163840,58185,0,4096,234,0,480,2,2026-08-27T00:38:01+09:00
balanced-3,6,3,D,4.723145,282475249,68,6302,163840,58185,0,4096,234,0,476,1,2026-08-27T00:38:10+09:00
