series,run,position,variant,seconds,result,migrations,switches,rchar,wchar,read_bytes,write_bytes,minflt,majflt,utime_ticks,stime_ticks,timestamp
balanced-1,1,1,A,4.726145,282475249,82,6297,163840,58205,0,4096,232,0,473,4,2026-08-27T00:42:24+09:00
balanced-1,1,2,B,4.801147,282475249,44,6388,163840,58205,0,4096,236,0,484,1,2026-08-27T00:42:34+09:00
balanced-1,1,3,D,4.723145,282475249,56,6305,163840,58205,0,4096,234,0,474,3,2026-08-27T00:42:45+09:00
balanced-2,1,1,B,4.804147,282475249,51,6415,163840,58205,0,4096,234,0,483,3,2026-08-27T00:42:56+09:00
balanced-2,1,2,D,4.821148,282475249,154,6471,163840,58205,0,4096,235,0,483,2,2026-08-27T00:43:06+09:00
balanced-2,1,3,A,4.803147,282475249,45,6353,163840,58205,0,4096,234,0,482,2,2026-08-27T00:43:17+09:00
balanced-3,1,1,D,4.722145,282475249,57,6316,163840,58205,0,4096,234,0,474,3,2026-08-27T00:43:27+09:00
balanced-3,1,2,A,4.792147,282475249,43,6402,163840,58205,0,4096,234,0,483,0,2026-08-27T00:43:38+09:00
balanced-3,1,3,B,4.804148,282475249,52,6361,163840,58205,0,4096,234,0,483,2,2026-08-27T00:43:48+09:00
balanced-1,2,1,A,4.802148,282475249,85,6397,163840,58205,0,4096,234,0,481,3,2026-08-27T00:43:59+09:00
balanced-1,2,2,D,4.723145,282475249,37,6301,163840,58205,0,4096,234,0,475,2,2026-08-27T00:44:09+09:00
balanced-1,2,3,B,4.878150,282475249,127,6484,163840,58205,0,4096,234,0,490,2,2026-08-27T00:44:20+09:00
balanced-2,2,1,D,4.728146,282475249,31,6335,163840,58205,0,4096,234,0,478,1,2026-08-27T00:44:31+09:00
balanced-2,2,2,B,4.790148,282475249,29,6424,163840,58205,0,4096,234,0,482,1,2026-08-27T00:44:41+09:00
balanced-2,2,3,A,4.727145,282475249,30,6350,163840,58205,0,4096,234,0,476,1,2026-08-27T00:44:52+09:00
balanced-3,2,1,B,4.802148,282475249,39,6430,163840,58205,0,4096,234,0,482,2,2026-08-27T00:45:02+09:00
balanced-3,2,2,A,4.818148,282475249,110,6681,163840,58205,0,4096,234,0,479,2,2026-08-27T00:45:13+09:00
balanced-3,2,3,D,4.799148,282475249,60,6408,163840,58205,0,4096,234,0,482,2,2026-08-27T00:45:23+09:00
balanced-1,3,1,A,4.776147,282475249,86,6733,163840,58205,0,4096,234,0,478,2,2026-08-27T00:46:03+09:00
balanced-1,3,2,B,4.887151,282475249,54,6534,163840,58205,0,4096,235,0,491,2,2026-08-27T00:46:13+09:00
balanced-1,3,3,D,4.788147,282475249,51,6412,163840,58205,0,4096,234,0,481,1,2026-08-27T00:46:24+09:00
balanced-2,3,1,B,4.878150,282475249,30,6454,163840,58205,0,4096,234,0,489,2,2026-08-27T00:46:35+09:00
balanced-2,3,2,D,4.732145,282475249,44,6350,163840,58205,0,4096,234,0,476,1,2026-08-27T00:46:45+09:00
balanced-2,3,3,A,4.830149,282475249,118,6365,163840,58205,0,4096,234,0,484,1,2026-08-27T00:46:56+09:00
balanced-3,3,1,D,4.719145,282475249,48,6292,163840,58205,0,4096,234,0,474,3,2026-08-27T00:47:07+09:00
balanced-3,3,2,A,4.764147,282475249,120,6325,163840,58205,0,4096,235,0,478,1,2026-08-27T00:47:17+09:00
balanced-3,3,3,B,4.804148,282475249,45,6422,163840,58205,0,4096,234,0,483,2,2026-08-27T00:47:28+09:00
