series,run,position,variant,seconds,result,migrations,switches,rchar,wchar,read_bytes,write_bytes,minflt,majflt,utime_ticks,stime_ticks,timestamp
forward,1,1,qa-2029,4.727147,282475249,29,6449,163840,58181,0,4096,234,0,476,1,2026-08-26T21:48:34+09:00
forward,1,2,A,4.824150,282475249,65,6462,163840,58181,0,4096,221,0,482,3,2026-08-26T21:48:44+09:00
forward,1,3,B,4.882152,282475249,48,6603,163840,58181,0,4096,234,0,490,2,2026-08-26T21:48:53+09:00
forward,1,4,C,4.807150,282475249,46,6486,163840,58183,0,4096,234,0,483,2,2026-08-26T21:49:03+09:00
reverse,1,1,C,4.891152,282475249,70,6497,163840,58183,0,0,237,0,492,1,2026-08-26T21:49:13+09:00
reverse,1,2,B,4.808149,282475249,65,6521,163840,58183,0,4096,234,0,481,4,2026-08-26T21:49:23+09:00
reverse,1,3,A,4.727147,282475249,73,6296,163840,58183,0,4096,221,0,477,0,2026-08-26T21:49:32+09:00
reverse,1,4,qa-2029,4.802149,282475249,63,6474,163840,58183,0,4096,234,0,483,1,2026-08-26T21:49:42+09:00
forward,2,1,qa-2029,4.748148,282475249,37,6423,163840,58183,0,0,237,0,480,0,2026-08-26T21:49:52+09:00
forward,2,2,A,4.734147,282475249,44,6429,163840,58183,0,4096,220,0,477,2,2026-08-26T21:50:01+09:00
forward,2,3,B,4.801150,282475249,71,6483,163840,58183,0,4096,234,0,482,3,2026-08-26T21:50:11+09:00
forward,2,4,C,4.883152,282475249,55,6578,163840,58183,0,4096,234,0,490,1,2026-08-26T21:50:21+09:00
reverse,2,1,C,4.885152,282475249,124,6553,163840,58183,0,0,237,0,489,2,2026-08-26T21:50:31+09:00
reverse,2,2,B,4.801150,282475249,36,6482,163840,58183,0,0,236,0,482,4,2026-08-26T21:50:41+09:00
reverse,2,3,A,4.721147,282475249,46,6403,163840,58183,0,4096,223,0,474,2,2026-08-26T21:50:51+09:00
reverse,2,4,qa-2029,4.800150,282475249,62,6360,163840,58183,0,4096,234,0,481,3,2026-08-26T21:51:00+09:00
forward,3,1,qa-2029,4.821150,282475249,59,6519,163840,58183,0,0,237,0,484,1,2026-08-26T21:51:10+09:00
forward,3,2,A,4.725147,282475249,44,6469,163840,58183,0,4096,221,0,475,2,2026-08-26T21:51:20+09:00
forward,3,3,B,4.799150,282475249,31,6563,163840,58183,0,4096,235,0,483,1,2026-08-26T21:51:30+09:00
forward,3,4,C,4.872151,282475249,70,6537,163840,58183,0,4096,234,0,490,0,2026-08-26T21:51:39+09:00
reverse,3,1,C,4.803150,282475249,42,6507,163840,58183,0,0,236,0,482,3,2026-08-26T21:51:49+09:00
reverse,3,2,B,4.877152,282475249,112,6504,163840,58183,0,4096,234,0,490,2,2026-08-26T21:51:59+09:00
reverse,3,3,A,4.728147,282475249,38,6432,163840,58183,0,4096,221,0,475,2,2026-08-26T21:52:09+09:00
reverse,3,4,qa-2029,4.722147,282475249,69,6334,163840,58183,0,4096,233,0,475,2,2026-08-26T21:52:18+09:00
forward,4,1,qa-2029,4.772149,282475249,74,6381,163840,58183,0,0,236,0,479,3,2026-08-26T21:52:28+09:00
forward,4,2,A,5.840182,282475249,51,7736,163840,58183,0,0,223,0,587,3,2026-08-26T21:52:38+09:00
forward,4,3,B,4.894152,282475249,39,6605,163840,58183,0,4096,235,0,492,1,2026-08-26T21:52:49+09:00
forward,4,4,C,4.887152,282475249,80,6561,163840,58183,0,4096,233,0,492,1,2026-08-26T21:52:58+09:00
reverse,4,1,C,4.893152,282475249,48,6585,163840,58183,0,0,236,0,492,1,2026-08-26T21:53:08+09:00
reverse,4,2,B,4.887152,282475249,34,6581,163840,58183,0,4096,233,0,491,2,2026-08-26T21:53:18+09:00
reverse,4,3,A,4.728147,282475249,39,6413,163840,58185,0,4096,222,0,475,2,2026-08-26T21:53:28+09:00
reverse,4,4,qa-2029,4.794149,282475249,74,6420,163840,58185,0,4096,235,0,482,1,2026-08-26T21:53:38+09:00
forward,5,1,qa-2029,4.728147,282475249,39,6387,163840,58185,0,0,236,0,475,3,2026-08-26T21:53:47+09:00
forward,5,2,A,4.718147,282475249,47,6399,163840,58185,0,0,223,0,475,1,2026-08-26T21:53:57+09:00
forward,5,3,B,4.808149,282475249,51,6512,163840,58185,0,4096,233,0,483,3,2026-08-26T21:54:07+09:00
forward,5,4,C,4.874152,282475249,86,6554,163840,58185,0,4096,234,0,489,1,2026-08-26T21:54:17+09:00
reverse,5,1,C,4.880152,282475249,60,6563,163840,58185,0,0,236,0,491,1,2026-08-26T21:54:26+09:00
reverse,5,2,B,4.813150,282475249,86,6458,163840,58185,0,0,235,0,484,3,2026-08-26T21:54:36+09:00
reverse,5,3,A,4.727147,282475249,47,6420,163840,58185,0,4096,221,0,475,2,2026-08-26T21:54:46+09:00
reverse,5,4,qa-2029,4.731147,282475249,66,6377,163840,58185,0,4096,234,0,476,3,2026-08-26T21:54:56+09:00
