variant,function,reported_overhead_percent
qa-2029,"qexec_execute_scan(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, SCAN_CODE (**)(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, void*))",26.70
qa-2029,"fetch_val_list(cubthread::entry*, regu_variable_list_node*, val_descr*, db_identifier*, db_identifier*, char*, int)",12.33
qa-2029,scan_next_list_scan,9.13
qa-2029,"qdata_evaluate_aggregate_list(cubthread::entry*, cubxasl::aggregate_list_node*, val_descr*, cubxasl::aggregate_accumulator*, bool)",7.43
qa-2029,"scan_next_scan_local(cubthread::entry*, scan_id_struct*)",7.42
qa-2029,"qexec_end_one_iteration(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*)",6.70
qa-2029,"qexec_intprt_fnc(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, SCAN_CODE (**)(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, void*))",4.32
qa-2029,"qfile_scan_list_next(cubthread::entry*, qfile_list_scan_id*, qfile_tuple_record*, int)",3.77
qa-2029,??,2.40
qa-2029,"qfile_retrieve_tuple(cubthread::entry*, qfile_list_scan_id*, qfile_tuple_record*, int)",1.98
qa-2029,"scan_next_scan(cubthread::entry*, scan_id_struct*)",1.95
qa-2029,scan_handle_single_scan,1.10
qa-2029,"resolve_domains_on_list_scan(llist_scan_id*, val_list_node*)",1.08
qa-2029,qfile_scan_list,0.54
A,"qexec_execute_scan(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, SCAN_CODE (**)(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, void*))",25.70
A,"fetch_val_list(cubthread::entry*, regu_variable_list_node*, val_descr*, db_identifier*, db_identifier*, char*, int)",12.73
A,scan_next_list_scan,8.95
A,"qdata_evaluate_aggregate_list(cubthread::entry*, cubxasl::aggregate_list_node*, val_descr*, cubxasl::aggregate_accumulator*, bool)",7.75
A,"qexec_end_one_iteration(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*)",7.04
A,"scan_next_scan_local(cubthread::entry*, scan_id_struct*)",6.98
A,"qexec_intprt_fnc(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, SCAN_CODE (**)(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, void*))",4.63
A,"qfile_scan_list_next(cubthread::entry*, qfile_list_scan_id*, qfile_tuple_record*, int)",3.90
A,"scan_next_scan(cubthread::entry*, scan_id_struct*)",2.47
A,"qfile_retrieve_tuple(cubthread::entry*, qfile_list_scan_id*, qfile_tuple_record*, int)",2.19
A,??,1.92
A,scan_handle_single_scan,0.84
A,"resolve_domains_on_list_scan(llist_scan_id*, val_list_node*)",0.74
A,qfile_scan_list,0.51
B,"qexec_execute_scan(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, SCAN_CODE (**)(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, void*))",25.12
B,"fetch_val_list(cubthread::entry*, regu_variable_list_node*, val_descr*, db_identifier*, db_identifier*, char*, int)",13.82
B,scan_next_list_scan,8.18
B,"qdata_evaluate_aggregate_list(cubthread::entry*, cubxasl::aggregate_list_node*, val_descr*, cubxasl::aggregate_accumulator*, bool)",7.16
B,"scan_next_scan_local(cubthread::entry*, scan_id_struct*)",6.91
B,"qexec_end_one_iteration(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*)",6.76
B,"qexec_intprt_fnc(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, SCAN_CODE (**)(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, void*))",4.43
B,"qfile_scan_list_next(cubthread::entry*, qfile_list_scan_id*, qfile_tuple_record*, int)",3.52
B,"qfile_retrieve_tuple(cubthread::entry*, qfile_list_scan_id*, qfile_tuple_record*, int)",2.69
B,"scan_next_scan(cubthread::entry*, scan_id_struct*)",2.65
B,??,2.64
B,qfile_scan_list,1.14
B,"resolve_domains_on_list_scan(llist_scan_id*, val_list_node*)",1.08
B,scan_handle_single_scan,0.98
C,"qexec_execute_scan(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, SCAN_CODE (**)(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, void*))",26.29
C,"fetch_val_list(cubthread::entry*, regu_variable_list_node*, val_descr*, db_identifier*, db_identifier*, char*, int)",13.40
C,scan_next_list_scan,8.99
C,"qdata_evaluate_aggregate_list(cubthread::entry*, cubxasl::aggregate_list_node*, val_descr*, cubxasl::aggregate_accumulator*, bool)",8.11
C,"qexec_end_one_iteration(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*)",6.66
C,"scan_next_scan_local(cubthread::entry*, scan_id_struct*)",6.56
C,"qexec_intprt_fnc(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, SCAN_CODE (**)(cubthread::entry*, xasl_node*, xasl_state*, qfile_tuple_record*, void*))",4.05
C,"qfile_scan_list_next(cubthread::entry*, qfile_list_scan_id*, qfile_tuple_record*, int)",3.03
C,??,2.88
C,"qfile_retrieve_tuple(cubthread::entry*, qfile_list_scan_id*, qfile_tuple_record*, int)",2.47
C,"scan_next_scan(cubthread::entry*, scan_id_struct*)",2.20
C,qfile_scan_list,1.16
C,scan_handle_single_scan,1.02
C,"resolve_domains_on_list_scan(llist_scan_id*, val_list_node*)",0.89
