series,run,variant,seconds,result,server_migrations,server_context_switches,timestamp
qa-first,1,qa-2029,4.735147,282475249,48,6373,2026-08-26T21:38:23+09:00
qa-first,2,qa-2029,4.730147,282475249,31,6316,2026-08-26T21:38:32+09:00
qa-first,3,qa-2029,4.806150,282475249,58,6491,2026-08-26T21:38:42+09:00
qa-first,4,qa-2029,4.742148,282475249,67,6414,2026-08-26T21:38:52+09:00
qa-first,5,qa-2029,4.743148,282475249,40,6390,2026-08-26T21:39:01+09:00
b-second,1,B,4.812150,282475249,64,6492,2026-08-26T21:39:11+09:00
b-second,2,B,4.803150,282475249,37,6418,2026-08-26T21:39:20+09:00
b-second,3,B,4.820150,282475249,59,6530,2026-08-26T21:39:30+09:00
b-second,4,B,4.806149,282475249,35,6485,2026-08-26T21:39:40+09:00
b-second,5,B,4.805150,282475249,51,6525,2026-08-26T21:39:49+09:00
b-first,1,B,4.874152,282475249,83,6568,2026-08-26T21:39:59+09:00
b-first,2,B,4.808150,282475249,47,6470,2026-08-26T21:40:09+09:00
b-first,3,B,4.805150,282475249,75,6411,2026-08-26T21:40:19+09:00
b-first,4,B,4.806150,282475249,33,6513,2026-08-26T21:40:28+09:00
b-first,5,B,4.821150,282475249,99,6509,2026-08-26T21:40:38+09:00
qa-second,1,qa-2029,4.727147,282475249,99,6366,2026-08-26T21:40:48+09:00
qa-second,2,qa-2029,4.778149,282475249,71,6424,2026-08-26T21:40:57+09:00
qa-second,3,qa-2029,4.780149,282475249,95,6436,2026-08-26T21:41:07+09:00
qa-second,4,qa-2029,4.721147,282475249,53,6363,2026-08-26T21:41:17+09:00
qa-second,5,qa-2029,4.730147,282475249,62,6400,2026-08-26T21:41:26+09:00
