phase,series,round,position,variant,seconds,result,timestamp
warmup,0,1,0,A,20.358351,282475249,2026-08-26T17:57:11+09:00
warmup,0,1,0,B,18.268316,282475249,2026-08-26T17:57:37+09:00
warmup,0,1,0,C,18.203314,282475249,2026-08-26T17:58:00+09:00
warmup,0,1,0,qa-2029,20.028346,282475249,2026-08-26T17:58:23+09:00
warmup,0,2,0,A,20.121348,282475249,2026-08-26T17:58:48+09:00
warmup,0,2,0,B,18.421318,282475249,2026-08-26T17:59:13+09:00
warmup,0,2,0,C,18.917326,282475249,2026-08-26T17:59:37+09:00
warmup,0,2,0,qa-2029,20.802360,282475249,2026-08-26T18:00:01+09:00
qa-five,0,1,0,qa-2029,20.800359,282475249,2026-08-26T18:00:27+09:00
qa-five,0,2,0,qa-2029,20.806359,282475249,2026-08-26T18:00:52+09:00
qa-five,0,3,0,qa-2029,20.622356,282475249,2026-08-26T18:01:18+09:00
qa-five,0,4,0,qa-2029,20.270350,282475249,2026-08-26T18:01:44+09:00
qa-five,0,5,0,qa-2029,20.522355,282475249,2026-08-26T18:02:09+09:00
randomized,1,1,1,A,20.334351,282475249,2026-08-26T18:02:35+09:00
randomized,1,1,2,B,18.411318,282475249,2026-08-26T18:03:00+09:00
randomized,1,1,3,C,18.430319,282475249,2026-08-26T18:03:24+09:00
randomized,1,2,1,A,20.918361,282475249,2026-08-26T18:03:47+09:00
randomized,1,2,2,C,18.336317,282475249,2026-08-26T18:04:13+09:00
randomized,1,2,3,B,18.034312,282475249,2026-08-26T18:04:36+09:00
randomized,1,3,1,B,18.386317,282475249,2026-08-26T18:04:59+09:00
randomized,1,3,2,A,21.298368,282475249,2026-08-26T18:05:23+09:00
randomized,1,3,3,C,18.753324,282475249,2026-08-26T18:05:49+09:00
randomized,1,4,1,B,19.145331,282475249,2026-08-26T18:06:13+09:00
randomized,1,4,2,C,18.687323,282475249,2026-08-26T18:06:37+09:00
randomized,1,4,3,A,20.792359,282475249,2026-08-26T18:07:01+09:00
randomized,1,5,1,C,18.540320,282475249,2026-08-26T18:07:27+09:00
randomized,1,5,2,A,20.444353,282475249,2026-08-26T18:07:51+09:00
randomized,1,5,3,B,18.217315,282475249,2026-08-26T18:08:16+09:00
randomized,1,6,1,C,18.566321,282475249,2026-08-26T18:09:55+09:00
randomized,1,6,2,B,18.418318,282475249,2026-08-26T18:10:19+09:00
randomized,1,6,3,A,20.584356,282475249,2026-08-26T18:10:43+09:00
randomized,1,7,1,C,18.287316,282475249,2026-08-26T18:11:11+09:00
randomized,1,7,2,B,18.365317,282475249,2026-08-26T18:11:34+09:00
randomized,1,7,3,A,20.675357,282475249,2026-08-26T18:11:57+09:00
randomized,1,8,1,C,18.477319,282475249,2026-08-26T18:12:23+09:00
randomized,1,8,2,A,20.327351,282475249,2026-08-26T18:12:46+09:00
randomized,1,8,3,B,18.939327,282475249,2026-08-26T18:13:12+09:00
randomized,1,9,1,B,18.507319,282475249,2026-08-26T18:13:36+09:00
randomized,1,9,2,C,18.596321,282475249,2026-08-26T18:13:59+09:00
randomized,1,9,3,A,20.843360,282475249,2026-08-26T18:14:23+09:00
randomized,1,10,1,B,18.671322,282475249,2026-08-26T18:14:49+09:00
randomized,1,10,2,A,20.530355,282475249,2026-08-26T18:15:13+09:00
randomized,1,10,3,C,18.487319,282475249,2026-08-26T18:15:38+09:00
randomized,1,11,1,A,20.585356,282475249,2026-08-26T18:16:02+09:00
randomized,1,11,2,C,18.417318,282475249,2026-08-26T18:16:27+09:00
randomized,1,11,3,B,18.304316,282475249,2026-08-26T18:16:51+09:00
randomized,1,12,1,A,20.768359,282475249,2026-08-26T18:17:14+09:00
randomized,1,12,2,B,18.600322,282475249,2026-08-26T18:17:40+09:00
randomized,1,12,3,C,18.150314,282475249,2026-08-26T18:18:04+09:00
randomized,2,1,1,A,20.339351,282475249,2026-08-26T18:18:27+09:00
randomized,2,1,2,C,18.318316,282475249,2026-08-26T18:18:52+09:00
randomized,2,1,3,B,18.434318,282475249,2026-08-26T18:19:15+09:00
randomized,2,2,1,B,18.434318,282475249,2026-08-26T18:19:39+09:00
randomized,2,2,2,A,21.167366,282475249,2026-08-26T18:20:03+09:00
randomized,2,2,3,C,18.899326,282475249,2026-08-26T18:20:29+09:00
randomized,2,3,1,B,18.763324,282475249,2026-08-26T18:20:53+09:00
randomized,2,3,2,C,18.614321,282475249,2026-08-26T18:21:17+09:00
randomized,2,3,3,A,20.632357,282475249,2026-08-26T18:21:40+09:00
randomized,2,4,1,C,18.691323,282475249,2026-08-26T18:22:06+09:00
randomized,2,4,2,A,20.420353,282475249,2026-08-26T18:22:30+09:00
randomized,2,4,3,B,18.589321,282475249,2026-08-26T18:22:55+09:00
randomized,2,5,1,C,18.520320,282475249,2026-08-26T18:23:19+09:00
randomized,2,5,2,B,18.884326,282475249,2026-08-26T18:23:43+09:00
