/probe/rocky8-gcc8/original  :
section                   size       addr
.interp                     28    4194872
.note.ABI-tag               32    4194900
.note.gnu.build-id          36    4194932
.gnu.hash                   28    4194968
.dynsym                    216    4195000
.dynstr                    235    4195216
.gnu.version                18    4195452
.gnu.version_r              64    4195472
.rela.dyn                  144    4195536
.rela.plt                   48    4195680
.init                       27    4195728
.plt                        48    4195760
.text                      853    4195808
.fini                       13    4196664
.rodata                     98    4196688
.eh_frame_hdr              108    4196788
.eh_frame                  432    4196896
.gcc_except_table            4    4197328
.init_array                  8    6294976
.fini_array                  8    6294984
.data.rel.ro                16    6294992
.dynamic                   512    6295008
.got                        32    6295520
.got.plt                    40    6295552
.data                      136    6295616
.bss                        16    6295752
.comment                    90          0
.gnu.build.attributes     7668   10490072
.debug_aranges             144          0
.debug_info              43579          0
.debug_abbrev             3188          0
.debug_line               2154          0
.debug_str               53419          0
.debug_loc                2266          0
.debug_ranges             1200          0
Total                   116908


