/probe/rocky8-gcc8/refactored-conditional  :
section                   size       addr
.interp                     28    4194872
.note.ABI-tag               32    4194900
.note.gnu.build-id          36    4194932
.gnu.hash                   28    4194968
.dynsym                    168    4195000
.dynstr                    165    4195168
.gnu.version                14    4195334
.gnu.version_r              32    4195352
.rela.dyn                   96    4195384
.rela.plt                   48    4195480
.init                       27    4195528
.plt                        48    4195568
.text                      645    4195616
.fini                       13    4196264
.rodata                     80    4196280
.eh_frame_hdr               92    4196360
.eh_frame                  336    4196456
.init_array                  8    6294992
.fini_array                  8    6295000
.dynamic                   512    6295008
.got                        32    6295520
.got.plt                    40    6295552
.data                      128    6295616
.bss                        16    6295744
.comment                    90          0
.gnu.build.attributes     7668   10490064
.debug_aranges             112          0
.debug_info              38343          0
.debug_abbrev             2569          0
.debug_line               1486          0
.debug_str               49442          0
.debug_loc                 973          0
.debug_ranges              144          0
Total                   103459


