/home/vimkim/gh/my-cubrid-docs/cbrd-26382/artifacts/noexcept-binary-layout/rocky9-gcc11/original  :
section                  size      addr
.interp                    28   4195096
.note.gnu.property         32   4195128
.note.gnu.build-id         36   4195160
.note.ABI-tag              32   4195196
.gnu.hash                  28   4195232
.dynsym                   216   4195264
.dynstr                   246   4195480
.gnu.version               18   4195726
.gnu.version_r             80   4195744
.rela.dyn                 144   4195824
.rela.plt                  48   4195968
.init                      27   4198400
.plt                       48   4198432
.text                     760   4198480
.fini                      13   4199240
.rodata                    98   4202496
.eh_frame_hdr              92   4202596
.eh_frame                 336   4202688
.gcc_except_table           4   4203024
.init_array                 8   4210112
.fini_array                 8   4210120
.data.rel.ro               16   4210128
.dynamic                  512   4210144
.got                       32   4210656
.got.plt                   40   4210688
.data                     136   4210752
.bss                       16   4210888
.comment                   46         0
.annobin.notes            318         0
.gnu.build.attributes     324   4219096
.debug_aranges            144         0
.debug_info             11250         0
.debug_abbrev            2305         0
.debug_line              1353         0
.debug_str               6934         0
.debug_line_str           602         0
.debug_loclists          1173         0
.debug_rnglists           407         0
Total                   27910


