/home/vimkim/gh/my-cubrid-docs/cbrd-26382/artifacts/noexcept-binary-layout/rocky9-gcc11/refactored-conditional  :
section                  size      addr
.interp                    28   4195096
.note.gnu.property         32   4195128
.note.gnu.build-id         36   4195160
.note.ABI-tag              32   4195196
.gnu.hash                  28   4195232
.dynsym                   168   4195264
.dynstr                   176   4195432
.gnu.version               14   4195608
.gnu.version_r             48   4195624
.rela.dyn                  96   4195672
.rela.plt                  48   4195768
.init                      27   4198400
.plt                       48   4198432
.text                     520   4198480
.fini                      13   4199000
.rodata                    78   4202496
.eh_frame_hdr              76   4202576
.eh_frame                 240   4202656
.init_array                 8   4210128
.fini_array                 8   4210136
.dynamic                  512   4210144
.got                       32   4210656
.got.plt                   40   4210688
.data                     128   4210752
.bss                       16   4210880
.comment                   46         0
.annobin.notes            318         0
.gnu.build.attributes     324   4219088
.debug_aranges            112         0
.debug_info              5907         0
.debug_abbrev            1410         0
.debug_line               721         0
.debug_str               2834         0
.debug_line_str           550         0
.debug_loclists           469         0
.debug_rnglists            66         0
Total                   15209


