bundle-att-T13-0001          success-bulky        expires=2026-09-17 EXPIRED         exists       0.0 MiB protected /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket13/bundle-att-T13-0001.json
bundle-att-T13-0002          success-bulky        expires=2026-09-17 EXPIRED         exists       0.0 MiB protected /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket13/bundle-att-T13-0002.json
bundle-att-T14-0026          success-bulky        expires=2026-09-18 kept            exists       0.6 MiB protected /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket14/bundle-att-T14-0026.json
bundle-att-T14-0027          success-bulky        expires=2026-09-18 kept            exists       0.6 MiB protected /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket14/bundle-att-T14-0027.json
bundle-att-T14-0029          success-bulky        expires=2026-09-18 kept            exists       0.6 MiB protected /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket14/bundle-att-T14-0029.json
bundle-att-T14-0030          success-bulky        expires=2026-09-18 kept            exists       0.7 MiB protected /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket14/bundle-att-T14-0030.json
bundle-att-T14-0031          success-bulky        expires=2026-09-18 kept            exists     321.1 MiB protected /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket14/bundle-att-T14-0031.json
bundle-att-T15-0001          success-bulky        expires=2026-09-18 kept            exists       0.1 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket15/bundle-att-T15-0001.json
bundle-att-T15-0002          success-bulky        expires=2026-09-18 kept            exists       0.6 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket15/bundle-att-T15-0002.json
bundle-att-T15-0003          success-bulky        expires=2026-09-18 kept            exists       0.1 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket15/bundle-att-T15-0003.json
bundle-att-T15-0004          success-bulky        expires=2026-09-18 kept            exists       0.6 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket15/bundle-att-T15-0004.json
bundle-att-T15-C02           success-bulky        expires=2026-09-18 kept            exists       0.1 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket15/controls/bundle-att-T15-C02.json
bundle-att-T15-C03           success-bulky        expires=2026-09-18 kept            exists     321.1 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket15/controls/bundle-att-T15-C03.json
bundle-att-T15-C04           failure              expires=-          awaiting triage exists       0.4 MiB  /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket15/controls/bundle-att-T15-C04.json
bundle-att-T13-0001          success-bulky        expires=2026-09-18 kept            exists       0.0 MiB protected /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket15/regenerated/ticket13/bundle-att-T13-0001.json
bundle-att-T13-0002          success-bulky        expires=2026-09-18 kept            exists       0.0 MiB protected /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket15/regenerated/ticket13/bundle-att-T13-0002.json
bundle-att-T14-0029          success-bulky        expires=2026-09-18 kept            exists       0.6 MiB protected /home/vimkim/gh/my-cubrid-docs/cbrd-26659/campaign/evidence/ticket15/regenerated/ticket14/bundle-att-T14-0029.json
